im_fitness,im_f_measure,im_precision,im_tree_height,im_tree_silent_leaves,im_tree_leaves,im_tree_nodes,incremental_fitness,incremental_f_measure,incremental_precision,incremental_tree_height,incremental_tree_silent_leaves,incremental_tree_leaves,incremental_tree_nodes,incremental_freezing_baseline_fitness,incremental_freezing_baseline_f_measure,incremental_freezing_baseline_precision,incremental_freezing_baseline_tree_height,incremental_freezing_baseline_tree_silent_leaves,incremental_freezing_baseline_tree_leaves,incremental_freezing_baseline_tree_nodes,incremental_freezing_advanced_fitness,incremental_freezing_advanced_f_measure,incremental_freezing_advanced_precision,incremental_freezing_advanced_tree_height,incremental_freezing_advanced_tree_silent_leaves,incremental_freezing_advanced_tree_leaves,incremental_freezing_advanced_tree_nodes,variants_total,variants_processed_so_far,traces_processed_so_far
0.6730895408884454,0.8046067164235823,1.0,2,0,5,6,0.858054059118532,0.7904624858942083,0.732742121718591,7,4,12,20,0.858054059118532,0.7904624858942083,0.732742121718591,7,4,12,20,0.858054059118532,0.7904624858942083,0.732742121718591,7,4,12,20,231,1,56482
0.8768557459642501,0.9343880027537846,1.0,4,0,6,9,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,231,2,102853
0.9632521621116947,0.8346280294618051,0.7363080028343819,5,3,9,15,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,231,3,123238
0.9807716304216332,0.7203353329595209,0.5691910622594656,3,4,10,15,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,231,4,132758
0.9847309015026183,0.7235380499744869,0.5718570454168382,4,5,11,17,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,231,5,136494
0.9898888732646063,0.7270316562312121,0.5744823732343234,6,7,13,22,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,231,6,139795
0.9898888732646063,0.7270316562312121,0.5744823732343234,6,7,13,22,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,0.9912327625713363,0.8426085602316162,0.732742121718591,7,5,13,22,231,7,142926
0.9961493227453846,0.7517393604338227,0.6036347184671842,6,8,16,26,0.9969572988545938,0.8645433478290012,0.7631793361888287,7,5,14,23,0.9972964250869113,0.702398503477711,0.5421007438205854,8,10,25,43,0.9986813943078409,0.8352298156251349,0.7177564841736708,8,7,17,30,231,8,145423
0.9961493227453846,0.7517393604338227,0.6036347184671842,6,8,16,26,0.9969572988545938,0.8645433478290012,0.7631793361888287,7,5,14,23,0.9972964250869113,0.702398503477711,0.5421007438205854,8,10,25,43,0.9986813943078409,0.8352298156251349,0.7177564841736708,8,7,17,30,231,9,146938
0.9961493227453846,0.7517393604338227,0.6036347184671842,6,8,16,26,0.9969572988545938,0.8645433478290012,0.7631793361888287,7,5,14,23,0.9972964250869113,0.702398503477711,0.5421007438205854,8,10,25,43,0.9986813943078409,0.8352298156251349,0.7177564841736708,8,7,17,30,231,10,147460
0.9965162002207323,0.7599977939803327,0.614216429826776,6,7,15,24,0.9975274309098675,0.8719943615911455,0.7745248765394716,8,6,16,27,0.9978644747366976,0.7170915058341586,0.5596270798786673,9,11,27,47,0.9986813943078409,0.8352298156251349,0.7177564841736708,8,7,17,30,231,11,147903
0.9974143228035018,0.6746301710689421,0.5096853300447743,7,7,15,25,0.9975274309098675,0.8719943615911455,0.7745248765394716,8,6,16,27,0.9978644747366976,0.7170915058341586,0.5596270798786673,9,11,27,47,0.9986813943078409,0.8352298156251349,0.7177564841736708,8,7,17,30,231,12,148265
0.9995106824033986,0.6289073532933577,0.4587936570069835,8,12,22,37,0.9995106824033986,0.6289073532933577,0.4587936570069835,8,12,22,37,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,13,148404
0.9999894200366365,0.6738006641572996,0.5080716510099244,8,13,24,40,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,14,148539
0.9999894200366365,0.6738006641572996,0.5080716510099244,8,13,24,40,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,15,148665
0.9999894200366365,0.6738006641572996,0.5080716510099244,8,13,24,40,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,16,148779
0.9999894200366365,0.6738006641572996,0.5080716510099244,8,13,24,40,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,17,148887
0.9999894200366365,0.6738006641572996,0.5080716510099244,8,13,24,40,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,18,148976
0.9998540987527316,0.686650819328588,0.5228641547034727,8,10,21,35,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,19,149064
0.9998540987527316,0.686650819328588,0.5228641547034727,8,10,21,35,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,20,149145
0.9998540987527316,0.686650819328588,0.5228641547034727,8,10,21,35,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,21,149214
0.9998540987527316,0.686650819328588,0.5228641547034727,8,10,21,35,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,22,149275
0.9998540987527316,0.686650819328588,0.5228641547034727,8,10,21,35,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,23,149333
0.9998540987527316,0.686650819328588,0.5228641547034727,8,12,23,40,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,24,149389
0.9998540987527316,0.686650819328588,0.5228641547034727,8,12,23,40,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,25,149438
0.9998540987527316,0.686650819328588,0.5228641547034727,8,12,23,40,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,26,149483
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,27,149525
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,28,149559
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,29,149591
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,30,149621
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,31,149644
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,32,149666
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,33,149686
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,34,149706
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,35,149726
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,36,149746
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,37,149765
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,38,149784
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,39,149801
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,40,149817
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,41,149832
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,42,149847
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,43,149861
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,44,149875
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,45,149888
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,46,149901
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,47,149913
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,48,149925
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9999300426912313,0.8753231394505581,0.7783309453422083,8,9,21,36,231,49,149937
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9999300426912313,0.8753231394505581,0.7783309453422083,8,9,21,36,231,50,149949
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9999300426912313,0.8753231394505581,0.7783309453422083,8,9,21,36,231,51,149960
0.9999803380617368,0.7102277032700542,0.5506672728119179,12,12,23,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9999300426912313,0.8753231394505581,0.7783309453422083,8,9,21,36,231,52,149970
0.9999803380617368,0.7102277032700542,0.5506672728119179,12,12,23,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9999300426912313,0.8753231394505581,0.7783309453422083,8,9,21,36,231,53,149979
0.9999803380617368,0.7102277032700542,0.5506672728119179,12,12,23,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9999300426912313,0.8753231394505581,0.7783309453422083,8,9,21,36,231,54,149988
0.9999803380617368,0.7102277032700542,0.5506672728119179,12,12,23,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9999300426912313,0.8753231394505581,0.7783309453422083,8,9,21,36,231,55,149997
0.9999741983242675,0.8255138585629289,0.7028851180310455,9,7,18,32,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9999300426912313,0.8753231394505581,0.7783309453422083,8,9,21,36,231,56,150006
0.9999838210528502,0.8254993352220195,0.7028593063547508,10,6,17,29,1.0,0.6738046902061888,0.5080734980965571,9,14,26,45,0.9999753940280645,0.6070958759056133,0.435853678962311,9,18,35,61,0.9999580426482404,0.8738092356650815,0.775923326662666,9,12,25,44,231,57,150014
0.9999838210528502,0.8254993352220195,0.7028593063547508,10,6,17,29,1.0,0.6738046902061888,0.5080734980965571,9,14,26,45,0.9999753940280645,0.6070958759056133,0.435853678962311,9,18,35,61,0.9999580426482404,0.8738092356650815,0.775923326662666,9,12,25,44,231,58,150022
0.9999838210528502,0.8254993352220195,0.7028593063547508,10,6,17,29,1.0,0.6738046902061888,0.5080734980965571,9,14,26,45,0.9999753940280645,0.6070958759056133,0.435853678962311,9,18,35,61,0.9999580426482404,0.8738092356650815,0.775923326662666,9,12,25,44,231,59,150029
0.9999838210528502,0.8254993352220195,0.7028593063547508,10,6,17,29,1.0,0.6738046902061888,0.5080734980965571,9,14,26,45,0.9999753940280645,0.6070958759056133,0.435853678962311,9,18,35,61,0.9999580426482404,0.8738092356650815,0.775923326662666,9,12,25,44,231,60,150036
0.9999838210528502,0.8254993352220195,0.7028593063547508,10,6,17,29,1.0,0.6738046902061888,0.5080734980965571,9,14,26,45,0.9999753940280645,0.6070958759056133,0.435853678962311,9,18,35,61,0.9999580426482404,0.8738092356650815,0.775923326662666,9,12,25,44,231,61,150043
0.9999838210528502,0.8254993352220195,0.7028593063547508,10,6,17,29,1.0,0.6738046902061888,0.5080734980965571,9,14,26,45,0.9999903571191063,0.6516119231021938,0.4832547623243667,9,18,36,63,0.9999826486201759,0.888084252647172,0.7987085016679272,9,13,27,47,231,62,150050
0.9999838210528502,0.8254993352220195,0.7028593063547508,10,6,17,29,1.0,0.6738046902061888,0.5080734980965571,9,14,26,45,0.9999903571191063,0.6516119231021938,0.4832547623243667,9,18,36,63,0.9999826486201759,0.888084252647172,0.7987085016679272,9,13,27,47,231,63,150057
0.9999838210528502,0.8254993352220195,0.7028593063547508,10,6,17,29,1.0,0.6738046902061888,0.5080734980965571,9,14,26,45,0.9999903571191063,0.6516119231021938,0.4832547623243667,9,18,36,63,0.9999826486201759,0.888084252647172,0.7987085016679272,9,13,27,47,231,64,150063
0.9999838210528502,0.8254993352220195,0.7028593063547508,10,6,17,29,1.0,0.6738046902061888,0.5080734980965571,9,14,26,45,0.9999903571191063,0.6516119231021938,0.4832547623243667,9,18,36,63,0.9999826486201759,0.888084252647172,0.7987085016679272,9,13,27,47,231,65,150069
0.9999838210528502,0.8254993352220195,0.7028593063547508,10,6,17,29,1.0,0.6738046902061888,0.5080734980965571,9,14,26,45,0.9999903571191063,0.6516119231021938,0.4832547623243667,9,18,36,63,0.9999826486201759,0.888084252647172,0.7987085016679272,9,13,27,47,231,66,150075
0.9999838210528502,0.8254993352220195,0.7028593063547508,10,6,17,29,1.0,0.6738046902061888,0.5080734980965571,9,14,26,45,0.9999903571191063,0.6516119231021938,0.4832547623243667,9,18,36,63,0.9999826486201759,0.888084252647172,0.7987085016679272,9,13,27,47,231,67,150081
0.9999838210528502,0.8254993352220195,0.7028593063547508,10,6,17,29,1.0,0.6738046902061888,0.5080734980965571,9,14,26,45,0.9999903571191063,0.6516119231021938,0.4832547623243667,9,18,36,63,0.9999826486201759,0.888084252647172,0.7987085016679272,9,13,27,47,231,68,150087
0.9999838210528502,0.8254993352220195,0.7028593063547508,10,6,17,29,1.0,0.6738046902061888,0.5080734980965571,9,14,26,45,0.9999903571191063,0.6516119231021938,0.4832547623243667,9,18,36,63,0.9999826486201759,0.888084252647172,0.7987085016679272,9,13,27,47,231,69,150093
